,lat,lon,onset_threshold
266,4.0,38.25,20
267,4.0,38.5,20
268,4.0,38.75,20
269,4.0,39.0,20
270,4.0,39.25,20
271,4.0,39.5,20
272,4.0,39.75,20
273,4.0,40.0,20
274,4.0,40.25,20
275,4.0,40.5,20
276,4.0,40.75,20
277,4.0,41.0,20
278,4.0,41.25,20
279,4.0,41.5,20
280,4.0,41.75,20
281,4.0,42.0,20
282,4.0,42.25,20
283,4.0,42.5,20
284,4.0,42.75,20
285,4.0,43.0,20
286,4.0,43.25,20
287,4.0,43.5,20
288,4.0,43.75,20
289,4.0,44.0,20
290,4.0,44.25,20
291,4.0,44.5,20
292,4.0,44.75,20
293,4.0,45.0,20
294,4.0,45.25,20
295,4.0,45.5,20
296,4.0,45.75,20
297,4.0,46.0,20
298,4.0,46.25,20
299,4.0,46.5,20
300,4.0,46.75,20
301,4.0,47.0,20
302,4.0,47.25,20
303,4.0,47.5,20
304,4.0,47.75,20
305,4.0,48.0,20
306,4.25,33.0,20
307,4.25,33.25,20
308,4.25,33.5,20
309,4.25,33.75,20
310,4.25,34.0,20
311,4.25,34.25,20
312,4.25,34.5,20
313,4.25,34.75,20
314,4.25,35.0,20
315,4.25,35.25,20
316,4.25,35.5,20
317,4.25,35.75,20
318,4.25,36.0,20
319,4.25,36.25,20
320,4.25,36.5,20
321,4.25,36.75,20
322,4.25,37.0,20
323,4.25,37.25,20
324,4.25,37.5,20
325,4.25,37.75,20
326,4.25,38.0,20
327,4.25,38.25,20
328,4.25,38.5,20
329,4.25,38.75,20
330,4.25,39.0,20
331,4.25,39.25,20
332,4.25,39.5,20
333,4.25,39.75,20
334,4.25,40.0,20
335,4.25,40.25,20
336,4.25,40.5,20
337,4.25,40.75,20
338,4.25,41.0,20
339,4.25,41.25,20
340,4.25,41.5,20
341,4.25,41.75,20
342,4.25,42.0,20
343,4.25,42.25,20
344,4.25,42.5,20
345,4.25,42.75,20
346,4.25,43.0,20
347,4.25,43.25,20
348,4.25,43.5,20
349,4.25,43.75,20
350,4.25,44.0,20
351,4.25,44.25,20
352,4.25,44.5,20
353,4.25,44.75,20
354,4.25,45.0,20
355,4.25,45.25,20
356,4.25,45.5,20
357,4.25,45.75,20
358,4.25,46.0,20
359,4.25,46.25,20
360,4.25,46.5,20
361,4.25,46.75,20
362,4.25,47.0,20
363,4.25,47.25,20
364,4.25,47.5,20
365,4.25,47.75,20
366,4.25,48.0,20
367,4.5,33.0,20
368,4.5,33.25,20
369,4.5,33.5,20
370,4.5,33.75,20
371,4.5,34.0,20
372,4.5,34.25,20
373,4.5,34.5,20
374,4.5,34.75,20
375,4.5,35.0,20
376,4.5,35.25,20
377,4.5,35.5,20
378,4.5,35.75,20
379,4.5,36.0,20
380,4.5,36.25,20
381,4.5,36.5,20
382,4.5,36.75,20
383,4.5,37.0,20
384,4.5,37.25,20
385,4.5,37.5,20
386,4.5,37.75,20
387,4.5,38.0,20
388,4.5,38.25,20
389,4.5,38.5,20
390,4.5,38.75,20
391,4.5,39.0,20
392,4.5,39.25,20
393,4.5,39.5,20
394,4.5,39.75,20
395,4.5,40.0,20
396,4.5,40.25,20
397,4.5,40.5,20
398,4.5,40.75,20
399,4.5,41.0,20
400,4.5,41.25,20
401,4.5,41.5,20
402,4.5,41.75,20
403,4.5,42.0,20
404,4.5,42.25,20
405,4.5,42.5,20
406,4.5,42.75,20
407,4.5,43.0,20
408,4.5,43.25,20
409,4.5,43.5,20
410,4.5,43.75,20
411,4.5,44.0,20
412,4.5,44.25,20
413,4.5,44.5,20
414,4.5,44.75,20
415,4.5,45.0,20
416,4.5,45.25,20
417,4.5,45.5,20
418,4.5,45.75,20
419,4.5,46.0,20
420,4.5,46.25,20
421,4.5,46.5,20
422,4.5,46.75,20
423,4.5,47.0,20
424,4.5,47.25,20
425,4.5,47.5,20
426,4.5,47.75,20
427,4.5,48.0,20
428,4.75,33.0,20
429,4.75,33.25,20
430,4.75,33.5,20
431,4.75,33.75,20
432,4.75,34.0,20
433,4.75,34.25,20
434,4.75,34.5,20
435,4.75,34.75,20
436,4.75,35.0,20
437,4.75,35.25,20
438,4.75,35.5,20
439,4.75,35.75,20
440,4.75,36.0,20
441,4.75,36.25,20
442,4.75,36.5,20
443,4.75,36.75,20
444,4.75,37.0,20
445,4.75,37.25,20
446,4.75,37.5,20
447,4.75,37.75,20
448,4.75,38.0,20
449,4.75,38.25,20
450,4.75,38.5,20
451,4.75,38.75,20
452,4.75,39.0,20
453,4.75,39.25,20
454,4.75,39.5,20
455,4.75,39.75,20
456,4.75,40.0,20
457,4.75,40.25,20
458,4.75,40.5,20
459,4.75,40.75,20
460,4.75,41.0,20
461,4.75,41.25,20
462,4.75,41.5,20
463,4.75,41.75,20
464,4.75,42.0,20
465,4.75,42.25,20
466,4.75,42.5,20
467,4.75,42.75,20
468,4.75,43.0,20
469,4.75,43.25,20
470,4.75,43.5,20
471,4.75,43.75,20
472,4.75,44.0,20
473,4.75,44.25,20
474,4.75,44.5,20
475,4.75,44.75,20
476,4.75,45.0,20
477,4.75,45.25,20
478,4.75,45.5,20
479,4.75,45.75,20
480,4.75,46.0,20
481,4.75,46.25,20
482,4.75,46.5,20
483,4.75,46.75,20
484,4.75,47.0,20
485,4.75,47.25,20
486,4.75,47.5,20
487,4.75,47.75,20
488,4.75,48.0,20
489,5.0,33.0,20
490,5.0,33.25,20
491,5.0,33.5,20
492,5.0,33.75,20
493,5.0,34.0,20
494,5.0,34.25,20
495,5.0,34.5,20
496,5.0,34.75,20
497,5.0,35.0,20
498,5.0,35.25,20
499,5.0,35.5,20
500,5.0,35.75,20
501,5.0,36.0,20
502,5.0,36.25,20
